tas,date, Country, ISO3, ISO2
22.8187,1956-8,KEN,,
23.2534,1956-9,KEN,,
24.2826,1956-10,KEN,,
23.9437,1956-11,KEN,,
24.0154,1956-12,KEN,,
24.4715,1957-1,KEN,,
24.7467,1957-2,KEN,,
25.7062,1957-3,KEN,,
25.4688,1957-4,KEN,,
24.485,1957-5,KEN,,
23.9677,1957-6,KEN,,
22.7274,1957-7,KEN,,
23.4244,1957-8,KEN,,
24.2067,1957-9,KEN,,
25.4153,1957-10,KEN,,
24.8134,1957-11,KEN,,
24.4601,1957-12,KEN,,
25.2276,1958-1,KEN,,
25.4454,1958-2,KEN,,
26.5035,1958-3,KEN,,
26.0311,1958-4,KEN,,
24.7199,1958-5,KEN,,
23.1724,1958-6,KEN,,
22.3336,1958-7,KEN,,
23.2416,1958-8,KEN,,
24.3641,1958-9,KEN,,
24.9665,1958-10,KEN,,
25.1433,1958-11,KEN,,
24.4846,1958-12,KEN,,
25.1044,1959-1,KEN,,
25.691,1959-2,KEN,,
25.6336,1959-3,KEN,,
25.4462,1959-4,KEN,,
24.559,1959-5,KEN,,
23.0885,1959-6,KEN,,
22.1042,1959-7,KEN,,
22.7266,1959-8,KEN,,
24.0048,1959-9,KEN,,
25.1075,1959-10,KEN,,
25.144,1959-11,KEN,,
24.8103,1959-12,KEN,,
24.8179,1960-1,KEN,,
25.6817,1960-2,KEN,,
25.6558,1960-3,KEN,,
24.9581,1960-4,KEN,,
24.6049,1960-5,KEN,,
23.0552,1960-6,KEN,,
22.6673,1960-7,KEN,,
23.0887,1960-8,KEN,,
23.8661,1960-9,KEN,,
24.388,1960-10,KEN,,
24.5648,1960-11,KEN,,
24.7959,1960-12,KEN,,
25.2761,1961-1,KEN,,
26.1876,1961-2,KEN,,
26.2472,1961-3,KEN,,
25.6491,1961-4,KEN,,
25.6303,1961-5,KEN,,
24.0336,1961-6,KEN,,
23.2141,1961-7,KEN,,
22.9522,1961-8,KEN,,
23.6719,1961-9,KEN,,
23.9052,1961-10,KEN,,
